id_indikator,nama_indikator,kategori,kelompok,arah_pembangunan,arah_baik_heuristik,kata_kunci,alasan_heuristik,arah_baik_verifikasi,status_verifikasi,catatan_verifikator
IUP-17,Persentase penyandang disabilitas bekerja di sektor formal (%),IUP,Transformasi Sosial,Perlindungan Sosial yang Adaptif,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-18,Produktivitas Industri dan Pertanian: Rasio PDB Industri Pengolahan (%),IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-19,"Produktivitas Industri dan Pertanian: Pertumbuhan PDB Pertanian, Kehutanan dan Perikanan (%)",IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-20,Rasio PDB Pariwisata,IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-21,Pengembangan pariwisata: Devisa Pariwisata,IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-22,Proporsi PDB Ekonomi Kreatif,IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-23,"Produktivitas UMKM, Koperasi, BUMN: Proporsi Jumlah Usaha Kecil dan Menengah",IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-24,"Produktivitas UMKM, Koperasi, BUMN: Rasio Kewirausahaan",IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-25,"Produktivitas UMKM, Koperasi, BUMN: Rasio Volume Usaha Koperasi terhadap PDB",IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-26,"Produktivitas UMKM, Koperasi, BUMN: d. Return on Asset (ROA) BUMN",IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-27,Tingkat Pengangguran terbuka,IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",TURUN,pengangguran,pengangguran membaik ketika menurun,,PERLU_VERIFIKASI,
IUP-28,Penciptaan Lapangan Kerja yang Baik: Proporsi Penciptaan Lapangan Kerja Formal (%),IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-29,Tingkat Partisipasi Angkatan Kerja Perempuan,IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-30,Tingkat Penguasaan IPTEK: Pengeluaran Iptek dan Inovasi (Persen PDB),IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-31,Tingkat Penguasaan IPTEK: Peringkat Indeks Inovasi Global (peringkat),IUP,Transformasi Ekonomi,"lptek, lnovasi, dan Produktivitas Ekonomi",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-32,Tingkat Penerapan Ekonomi Hijau: Indeks Ekonomi Hijau,IUP,Transformasi Ekonomi,Penerapan Ekonomi Hijau,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-33,Tingkat Penerapan Ekonomi Hijau: Porsi EBT dalam Bauran Energi Primer (%),IUP,Transformasi Ekonomi,Penerapan Ekonomi Hijau,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-34,Indeks Daya Saing Digital di Tingkat Global (Peringkat),IUP,Transformasi Digital,Transformasi Digital,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-35,Biaya Logistik (% PDB),IUP,Transformasi Digital,Integrasi Ekonomi Global,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-36,Pembentukan Modal Tetap Bruto (% PDB),IUP,Transformasi Digital,Integrasi Ekonomi Global,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-37,Ekspor Barang dan Jasa (%PDB),IUP,Transformasi Digital,Integrasi Ekonomi Global,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-38,"Kota Maju, Inklusif, dan Berkelanjutan: Proporsi kontribusi PDRB wilayah metropolitan terhadap nasional (%)",IUP,Transformasi Digital,Perkotaan dan Perdesaan sebagai Pusat Pertumbuhan Ekonomi,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-39,"Kota Maju, Inklusif, dan Berkelanjutan: Rumah tangga dengan akses hunian layak, terjangkau, dan berkelanjutan (%)",IUP,Transformasi Digital,Perkotaan dan Perdesaan sebagai Pusat Pertumbuhan Ekonomi,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-40,"Kota Maju, Inklusif, dan Berkelanjutan: Persentase Desa Mandiri (%)",IUP,Transformasi Digital,Perkotaan dan Perdesaan sebagai Pusat Pertumbuhan Ekonomi,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-41,Indeks Materi Hukum,IUP,Transformasi Tata Kelola,Regulasi dan Tata kelola yang Berintegritas dan Adaptif,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-42,Indeks Sistem Pemerintahan Berbasis Elektronik,IUP,Transformasi Tata Kelola,Regulasi dan Tata kelola yang Berintegritas dan Adaptif,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-43,Indeks Pelayanan Publik,IUP,Transformasi Tata Kelola,Regulasi dan Tata kelola yang Berintegritas dan Adaptif,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-44,Anti Korupsi: Indeks Integritas Nasional -,IUP,Transformasi Tata Kelola,Regulasi dan Tata kelola yang Berintegritas dan Adaptif,TURUN,kehilangan|kerugian|konflik|kejahatan|korupsi,beban/kejadian negatif membaik ketika menurun,,PERLU_VERIFIKASI,
IUP-45,Anti Korupsi: Indeks Persepsi Korupsi,IUP,Transformasi Tata Kelola,Regulasi dan Tata kelola yang Berintegritas dan Adaptif,TURUN,kehilangan|kerugian|konflik|kejahatan|korupsi,beban/kejadian negatif membaik ketika menurun,,PERLU_VERIFIKASI,
IUP-46,Indeks Pembangunan Hukum,IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia","Hukum Berkeadilan, Keamanan Nasional",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-47,Proporsi Penduduk yang Merasa Aman Berjalan Sendirian di Area Tempat Tinggalnya (%),IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia","Hukum Berkeadilan, Keamanan Nasional",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-48,Indeks Demokrasi Indonesia,IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Tangguh dan Demokrasi,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-49,Rasio pajak terhadap PDB,IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Stabilitas Ekonomi Makro,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-50,Tingkat inflasi,IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Stabilitas Ekonomi Makro,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-51,Pendalaman/ Intermediasi Sektor Keuangan: Aset Perbankan/PDB (%),IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Stabilitas Ekonomi Makro,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-52,Pendalaman/ Intermediasi Sektor Keuangan: Aset Dana Pensiun /PDB (%),IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Stabilitas Ekonomi Makro,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-53,Pendalaman/ Intermediasi Sektor Keuangan: Aset Asuransi/PDB (%),IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Stabilitas Ekonomi Makro,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-54,Pendalaman/ Intermediasi Sektor Keuangan: Kapitalisasi Pasar Modal/PDB (%),IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Stabilitas Ekonomi Makro,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-55,Pendalaman/ Intermediasi Sektor Keuangan: Total Kredit/PDB (%),IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Stabilitas Ekonomi Makro,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-56,Indeks Inklusi Keuangan,IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Stabilitas Ekonomi Makro,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-57,Asia Power Index (Diplomatic Influence),IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Ketangguhan Diplomasi dan Pertahanan Berdaya Gentar Kawasan,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-58,Asia Power Index (Military Capability),IUP,"Supremasi Hukum, stabilitas, dan Kepemimpinan Indonesia",Ketangguhan Diplomasi dan Pertahanan Berdaya Gentar Kawasan,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
IUP-59,Indeks Pembangunan Kebudayaan,IUP,Ketahanan Sosial Budaya dan Ekologi,Beragama Maslahat dan Berkebudayaan Maju,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-60,Indeks Kerukunan Umat Beragama:,IUP,Ketahanan Sosial Budaya dan Ekologi,Beragama Maslahat dan Berkebudayaan Maju,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-61,Indeks Pembangunan Kualitas Keluarga,IUP,Ketahanan Sosial Budaya dan Ekologi,"Keluarga Berkualitas, Kesetaraan Gender, dan Masyarakat Inklusif",NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-62,Indeks Ketimpangan Gender (IKG),IUP,Ketahanan Sosial Budaya dan Ekologi,"Keluarga Berkualitas, Kesetaraan Gender, dan Masyarakat Inklusif",TURUN,rasio\s+gini|ketimpangan,ketimpangan membaik ketika menurun,,PERLU_VERIFIKASI,
IUP-63,Indeks Pengelolaan Keanekaragaman Hayati,IUP,Ketahanan Sosial Budaya dan Ekologi,Lingkungan Hidup Berkualitas,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-64,Indeks Kualitas Udara,IUP,Ketahanan Sosial Budaya dan Ekologi,Lingkungan Hidup Berkualitas,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-65,Kualitas Lingkungan Hidup: Indeks Kualitas Lingkungan Hidup - Indeks Kualitas Air (IKA),IUP,Ketahanan Sosial Budaya dan Ekologi,Lingkungan Hidup Berkualitas,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-66,Kualitas Lingkungan Hidup: Indeks Kualitas Lingkungan Hidup - Indeks Kualitas Lahan (IKL),IUP,Ketahanan Sosial Budaya dan Ekologi,Lingkungan Hidup Berkualitas,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-67,Kualitas Lingkungan Hidup: Indeks Kualitas Lingkungan Hidup - Indeks Kualitas Air Laut (IKAL),IUP,Ketahanan Sosial Budaya dan Ekologi,Lingkungan Hidup Berkualitas,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-68,Kualitas Lingkungan Hidup: Rumah Tangga dengan Akses Sanitasi Aman (%),IUP,Ketahanan Sosial Budaya dan Ekologi,Lingkungan Hidup Berkualitas,NAIK,indeks|kontribusi|proporsi|persentase|persen|rasio|cakupan|akses|harapan|produktivitas|pertumbuhan|pendapatan|pdrb|nilai|peringkat,ukuran capaian/akses/produktivitas diasumsikan membaik ketika naik,,PERLU_VERIFIKASI,
IUP-69,Kualitas Lingkungan Hidup: Timbulan Sampah Terolah di Fasilitas Pengolahan Sampah (%),IUP,Ketahanan Sosial Budaya dan Ekologi,Lingkungan Hidup Berkualitas,NAIK,aturan_default,belum ada kata kunci khusus; asumsi awal NAIK dan wajib ditinjau,,PERLU_VERIFIKASI,
